# *Raw* data from run name: arls_runs_amazon_2020_06_08_1042
# Method #1 = Hybrid Deterministic s = 2^{16}
# Method #2 = Hybrid Deterministic s = 2^{17}
# Method #3 = Not Random
# Method #4 = Random s = 2^{16}
# Method #5 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
M1_R1_T, 127.8847, 493.1192, 861.9752, 1232.3931, 1595.9736, 1949.0135, 2294.1449, 2647.0211, 3001.8317, 3353.6131, 3712.9131, 4065.0156, 4423.2071
M1_R1_F, 0.0022, 0.3369, 0.3373, 0.3379, 0.3382, 0.3378, 0.3384, 0.3377, 0.3382, 0.3386, 0.3378, 0.3378, 0.3387
M1_R2_T, 102.4509, 445.7825, 789.6324, 1128.8055, 1461.4439, 1800.6178, 2137.7251, 2474.4339, 2817.5310, NaN, NaN, NaN, NaN
M1_R2_F, 0.0026, 0.3364, 0.3381, 0.3386, 0.3387, 0.3392, 0.3387, 0.3383, 0.3386, NaN, NaN, NaN, NaN
M1_R3_T, 104.5082, 438.0286, 791.1735, 1137.5924, 1484.4110, 1843.8831, 2185.6310, 2537.4401, 2882.1840, NaN, NaN, NaN, NaN
M1_R3_F, 0.0018, 0.3380, 0.3381, 0.3386, 0.3383, 0.3387, 0.3385, 0.3382, 0.3384, NaN, NaN, NaN, NaN
M1_R4_T, 107.8312, 445.8175, 784.8175, 1131.3284, 1465.8398, 1812.6912, 2161.1362, 2512.0109, 2850.0410, 3191.9270, 3543.0102, 3892.3506, 4251.2678
M1_R4_F, 0.0032, 0.3374, 0.3378, 0.3381, 0.3384, 0.3382, 0.3389, 0.3386, 0.3388, 0.3391, 0.3368, 0.3387, 0.3383
M1_R5_T, 108.7882, 443.5895, 790.4453, 1127.3729, 1471.0998, 1826.0850, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R5_F, 0.0025, 0.3356, 0.3380, 0.3377, 0.3378, 0.3375, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R6_T, 106.3249, 467.5993, 821.1619, 1153.0173, 1503.3728, 1839.7660, 2177.9393, 2523.8319, 2859.9725, NaN, NaN, NaN, NaN
M1_R6_F, 0.0022, 0.3370, 0.3379, 0.3378, 0.3379, 0.3384, 0.3379, 0.3383, 0.3384, NaN, NaN, NaN, NaN
M1_R7_T, 99.7269, 435.2812, 783.6449, 1133.8320, 1482.7944, 1825.1083, 2168.3904, 2507.7708, 2863.5797, NaN, NaN, NaN, NaN
M1_R7_F, 0.0036, 0.3384, 0.3389, 0.3396, 0.3396, 0.3398, 0.3392, 0.3388, 0.3391, NaN, NaN, NaN, NaN
M1_R8_T, 108.1664, 472.5190, 817.4965, 1158.8626, 1497.2950, 1832.8962, 2162.6937, 2494.7031, NaN, NaN, NaN, NaN, NaN
M1_R8_F, 0.0028, 0.3369, 0.3372, 0.3385, 0.3389, 0.3385, 0.3387, 0.3384, NaN, NaN, NaN, NaN, NaN
M1_R9_T, 106.2699, 499.8191, 864.9937, 1219.4210, 1631.8555, 2014.4192, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R9_F, 0.0026, 0.3375, 0.3389, 0.3376, 0.3374, 0.3378, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R10_T, 109.2185, 448.5559, 808.6241, 1169.2660, 1513.1927, 1855.9053, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R10_F, 0.0025, 0.3377, 0.3383, 0.3376, 0.3376, 0.3380, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R1_T, 107.1873, 491.1476, 874.8962, 1261.8077, 1664.4262, 2055.3078, 2429.7595, 2801.4953, NaN, NaN, NaN, NaN, NaN
M2_R1_F, 0.0030, 0.3392, 0.3390, 0.3390, 0.3396, 0.3392, 0.3391, 0.3390, NaN, NaN, NaN, NaN, NaN
M2_R2_T, 103.4185, 488.5945, 867.5546, 1239.6438, 1615.7388, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R2_F, 0.0011, 0.3383, 0.3381, 0.3378, 0.3376, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R3_T, 107.8047, 462.7743, 853.8510, 1236.7386, 1619.3323, 2002.6804, 2383.0344, 2757.0905, 3141.6200, NaN, NaN, NaN, NaN
M2_R3_F, 0.0026, 0.3387, 0.3393, 0.3392, 0.3395, 0.3397, 0.3391, 0.3394, 0.3393, NaN, NaN, NaN, NaN
M2_R4_T, 103.6783, 486.5815, 850.7281, 1220.6255, 1582.6457, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R4_F, 0.0016, 0.3379, 0.3373, 0.3376, 0.3378, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R5_T, 105.6394, 485.3884, 879.7327, 1279.5802, 1660.3897, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R5_F, -0.0009, 0.3366, 0.3349, 0.3358, 0.3361, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R6_T, 100.5743, 473.4264, 847.6092, 1219.6017, 1593.8550, 1977.4212, 2344.9616, 2704.7076, 3079.3268, NaN, NaN, NaN, NaN
M2_R6_F, 0.0029, 0.3376, 0.3380, 0.3386, 0.3388, 0.3391, 0.3389, 0.3389, 0.3392, NaN, NaN, NaN, NaN
M2_R7_T, 103.9838, 483.3472, 851.9094, 1213.0723, 1575.5360, 1958.9742, 2324.6879, NaN, NaN, NaN, NaN, NaN, NaN
M2_R7_F, 0.0033, 0.3379, 0.3382, 0.3386, 0.3381, 0.3384, 0.3384, NaN, NaN, NaN, NaN, NaN, NaN
M2_R8_T, 106.1888, 498.0360, 894.0874, 1272.4164, 1648.7859, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R8_F, 0.0018, 0.3381, 0.3380, 0.3374, 0.3378, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M2_R9_T, 111.7804, 472.3593, 867.2119, 1255.4692, 1634.0229, 2005.3564, 2384.5961, 2781.7541, NaN, NaN, NaN, NaN, NaN
M2_R9_F, 0.0028, 0.3394, 0.3394, 0.3392, 0.3397, 0.3391, 0.3394, 0.3392, NaN, NaN, NaN, NaN, NaN
M2_R10_T, 103.6546, 472.3753, 872.1463, 1299.9722, 1672.8625, 2051.3217, 2425.0200, 2816.2561, 3192.3370, NaN, NaN, NaN, NaN
M2_R10_F, 0.0029, 0.3385, 0.3391, 0.3397, 0.3394, 0.3400, 0.3399, 0.3397, 0.3397, NaN, NaN, NaN, NaN
M3_R1_T, 0.0016, 3381.4689, 6693.5364, 10057.1718, 13378.3259, 16677.7573, 19982.0040, 23293.2363, 26573.5260, 29832.3390, NaN, NaN, NaN
M3_R1_F, 0.0000, 0.2804, 0.3319, 0.3364, 0.3378, 0.3384, 0.3387, 0.3389, 0.3390, 0.3391, NaN, NaN, NaN
M3_R2_T, 0.0008, 3271.2166, 6580.7792, 9916.7812, 13203.9237, 16434.5466, 19699.6461, 23004.2905, 26226.8536, 29546.2183, 32763.9346, 36043.5180, NaN
M3_R2_F, 0.0000, 0.2808, 0.3319, 0.3367, 0.3381, 0.3387, 0.3390, 0.3391, 0.3393, 0.3394, 0.3395, 0.3396, NaN
M3_R3_T, 0.0010, 3315.7648, 6632.3231, 9912.5930, 13206.8896, 16480.3495, 19784.3986, 23030.4955, 26295.1717, NaN, NaN, NaN, NaN
M3_R3_F, 0.0000, 0.2798, 0.3311, 0.3369, 0.3385, 0.3391, 0.3393, 0.3395, 0.3396, NaN, NaN, NaN, NaN
M3_R4_T, 0.0003, 3308.3094, 6565.1771, 9833.7372, 13104.0170, 16395.9105, 19732.2278, 22972.1490, 26235.8854, 29525.7628, NaN, NaN, NaN
M3_R4_F, 0.0000, 0.2775, 0.3323, 0.3370, 0.3384, 0.3390, 0.3393, 0.3395, 0.3396, 0.3396, NaN, NaN, NaN
M3_R5_T, 0.0011, 3217.7063, 6495.8621, 9804.9049, 13104.4232, 16335.9374, 19562.0766, 22819.6836, 26124.8349, NaN, NaN, NaN, NaN
M3_R5_F, 0.0000, 0.2817, 0.3331, 0.3372, 0.3383, 0.3388, 0.3391, 0.3392, 0.3393, NaN, NaN, NaN, NaN
M3_R6_T, 0.0017, 3189.7223, 6338.1975, 9547.0363, 12763.6849, 15916.5923, 18999.8250, 22196.1442, 25326.9782, NaN, NaN, NaN, NaN
M3_R6_F, 0.0000, 0.2848, 0.3336, 0.3374, 0.3383, 0.3387, 0.3390, 0.3391, 0.3392, NaN, NaN, NaN, NaN
M3_R7_T, 0.0005, 3118.5324, 6219.7292, 9404.3683, 12475.4243, 15577.2673, 18723.6834, 21925.0303, 25017.4432, NaN, NaN, NaN, NaN
M3_R7_F, 0.0000, 0.2782, 0.3324, 0.3369, 0.3381, 0.3386, 0.3388, 0.3390, 0.3391, NaN, NaN, NaN, NaN
M3_R8_T, 0.0009, 3087.2661, 6155.0130, 9233.1053, 12335.1186, 15540.4764, 18730.6350, 21844.9828, 25009.8005, NaN, NaN, NaN, NaN
M3_R8_F, 0.0000, 0.2789, 0.3317, 0.3367, 0.3381, 0.3387, 0.3390, 0.3391, 0.3392, NaN, NaN, NaN, NaN
M3_R9_T, 0.0003, 3163.3113, 6305.5795, 9443.3579, 12650.2791, 15812.7448, 18919.8296, 22053.0644, 25168.3533, 28280.4304, NaN, NaN, NaN
M3_R9_F, 0.0000, 0.2854, 0.3334, 0.3375, 0.3385, 0.3389, 0.3392, 0.3394, 0.3395, 0.3396, NaN, NaN, NaN
M3_R10_T, 0.0011, 3210.9315, 6378.0575, 9549.7634, 12714.7771, 15833.7204, 18978.4206, 22134.1443, 25200.6301, 28324.1615, 31465.1829, NaN, NaN
M3_R10_F, 0.0000, 0.2755, 0.3328, 0.3370, 0.3382, 0.3386, 0.3389, 0.3390, 0.3392, 0.3393, 0.3394, NaN, NaN
M4_R1_T, 101.8542, 425.4290, 782.7985, 1125.4459, 1468.8593, 1806.0630, 2134.5102, 2472.8740, 2812.7290, NaN, NaN, NaN, NaN
M4_R1_F, 0.0022, 0.3373, 0.3383, 0.3383, 0.3373, 0.3394, 0.3382, 0.3382, 0.3382, NaN, NaN, NaN, NaN
M4_R2_T, 101.3644, 437.2151, 781.2030, 1109.2722, 1436.5963, 1771.8461, 2106.9438, NaN, NaN, NaN, NaN, NaN, NaN
M4_R2_F, 0.0026, 0.3365, 0.3379, 0.3397, 0.3384, 0.3387, 0.3394, NaN, NaN, NaN, NaN, NaN, NaN
M4_R3_T, 102.4040, 431.3600, 775.1154, 1096.9701, 1415.7664, 1755.5214, 2084.7438, NaN, NaN, NaN, NaN, NaN, NaN
M4_R3_F, 0.0018, 0.3375, 0.3359, 0.3379, 0.3372, 0.3364, 0.3367, NaN, NaN, NaN, NaN, NaN, NaN
M4_R4_T, 107.9327, 444.0364, 772.4095, 1102.8326, 1439.2381, 1758.0115, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R4_F, 0.0032, 0.3384, 0.3388, 0.3379, 0.3383, 0.3383, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R5_T, 105.1409, 439.3037, 756.1743, 1079.0295, 1409.8016, 1739.6178, 2066.6402, NaN, NaN, NaN, NaN, NaN, NaN
M4_R5_F, 0.0025, 0.3363, 0.3363, 0.3365, 0.3358, 0.3353, 0.3360, NaN, NaN, NaN, NaN, NaN, NaN
M4_R6_T, 101.5175, 421.1567, 753.7254, 1079.0014, 1416.5310, 1744.4018, 2079.0401, 2409.8620, 2743.8784, 3089.5955, 3423.2004, 3750.6796, NaN
M4_R6_F, 0.0022, 0.3347, 0.3381, 0.3381, 0.3382, 0.3389, 0.3391, 0.3392, 0.3393, 0.3374, 0.3382, 0.3384, NaN
M4_R7_T, 102.3435, 426.4839, 754.7600, 1077.8091, 1415.7178, 1737.5218, 2063.3910, NaN, NaN, NaN, NaN, NaN, NaN
M4_R7_F, 0.0036, 0.3383, 0.3382, 0.3393, 0.3393, 0.3390, 0.3388, NaN, NaN, NaN, NaN, NaN, NaN
M4_R8_T, 106.5562, 459.3579, 821.9125, 1158.8459, 1493.2498, 1847.0688, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R8_F, 0.0028, 0.3381, 0.3387, 0.3385, 0.3383, 0.3378, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R9_T, 107.2783, 434.4531, 768.0778, 1104.8264, 1516.9343, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R9_F, 0.0026, 0.3402, 0.3395, 0.3384, 0.3386, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R10_T, 109.4297, 439.7196, 777.8109, 1099.7053, 1446.2618, 1801.1570, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M4_R10_F, 0.0025, 0.3359, 0.3389, 0.3373, 0.3361, 0.3371, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R1_T, 101.8757, 461.5708, 852.3236, 1240.8771, 1592.4190, 1972.5796, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R1_F, 0.0030, 0.3382, 0.3394, 0.3391, 0.3388, 0.3392, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R2_T, 102.6403, 455.8975, 813.3582, 1175.3705, 1525.6532, 1885.8816, 2249.8760, 2607.2174, 2964.6669, 3320.9131, NaN, NaN, NaN
M5_R2_F, 0.0011, 0.3354, 0.3377, 0.3369, 0.3380, 0.3376, 0.3382, 0.3370, 0.3366, 0.3379, NaN, NaN, NaN
M5_R3_T, 102.8896, 461.1104, 842.5823, 1199.4261, 1546.3637, 1894.6163, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R3_F, 0.0026, 0.3381, 0.3392, 0.3389, 0.3388, 0.3390, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R4_T, 103.6002, 472.6832, 836.3787, 1185.7114, 1537.5642, 1897.9585, 2264.6952, 2619.4386, 2973.6413, 3347.4055, NaN, NaN, NaN
M5_R4_F, 0.0016, 0.3344, 0.3365, 0.3368, 0.3375, 0.3372, 0.3385, 0.3382, 0.3381, 0.3384, NaN, NaN, NaN
M5_R5_T, 102.9626, 481.0752, 820.3889, 1180.4829, 1527.3897, 1890.8977, 2248.7890, 2594.4042, NaN, NaN, NaN, NaN, NaN
M5_R5_F, -0.0009, 0.3337, 0.3347, 0.3344, 0.3350, 0.3349, 0.3346, 0.3349, NaN, NaN, NaN, NaN, NaN
M5_R6_T, 106.5742, 457.8376, 813.8818, 1162.7304, 1507.0115, 1873.7129, 2227.3153, NaN, NaN, NaN, NaN, NaN, NaN
M5_R6_F, 0.0029, 0.3380, 0.3382, 0.3395, 0.3375, 0.3389, 0.3393, NaN, NaN, NaN, NaN, NaN, NaN
M5_R7_T, 103.8414, 462.1980, 821.1161, 1165.5794, 1509.2059, 1872.1420, 2232.7476, 2589.5699, NaN, NaN, NaN, NaN, NaN
M5_R7_F, 0.0033, 0.3359, 0.3386, 0.3391, 0.3398, 0.3390, 0.3389, 0.3391, NaN, NaN, NaN, NaN, NaN
M5_R8_T, 105.7652, 483.6301, 853.1485, 1211.2984, 1572.5982, 1944.4383, 2301.3894, 2664.6052, NaN, NaN, NaN, NaN, NaN
M5_R8_F, 0.0018, 0.3370, 0.3367, 0.3368, 0.3390, 0.3386, 0.3383, 0.3378, NaN, NaN, NaN, NaN, NaN
M5_R9_T, 107.9052, 441.4610, 805.1459, 1166.3027, 1517.3008, 1869.4836, 2229.2030, 2596.6591, NaN, NaN, NaN, NaN, NaN
M5_R9_F, 0.0028, 0.3383, 0.3391, 0.3387, 0.3392, 0.3387, 0.3388, 0.3389, NaN, NaN, NaN, NaN, NaN
M5_R10_T, 107.6941, 450.0274, 813.2911, 1165.0078, 1523.5860, 1888.7809, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M5_R10_F, 0.0029, 0.3392, 0.3398, 0.3387, 0.3397, 0.3394, NaN, NaN, NaN, NaN, NaN, NaN, NaN
