# *Raw* data from run name: arls_runs_uber_2020_05_19_1234
# Method #1 = Hybrid Deterministic s = 2^{15}
# Method #2 = Hybrid Deterministic s = 2^{16}
# Method #3 = Hybrid Deterministic s = 2^{17}
# Method #4 = Not Random
# Method #5 = Random s = 2^{15}
# Method #6 = Random s = 2^{16}
# Method #7 = Random s = 2^{17}
IDs, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35
M1_R1_T, 0.8592, 8.6578, 15.5895, 22.5860, 29.3639, 36.1064, 43.0063, 49.7387, 56.4205, 63.1185, 69.7938, 76.4511, 83.3480, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R1_F, 0.0000, 0.1776, 0.1823, 0.1838, 0.1846, 0.1853, 0.1853, 0.1858, 0.1859, 0.1861, 0.1859, 0.1858, 0.1862, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R2_T, 0.4953, 7.2004, 14.0233, 20.8469, 27.7711, 34.4743, 41.1910, 47.8946, 54.5628, 61.3947, 68.0540, 74.6948, 81.3705, 88.0669, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R2_F, 0.0000, 0.1778, 0.1823, 0.1842, 0.1851, 0.1856, 0.1860, 0.1861, 0.1866, 0.1865, 0.1870, 0.1868, 0.1869, 0.1868, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R3_T, 0.4480, 7.6191, 14.5579, 21.9889, 29.0083, 35.9000, 42.8828, 49.5746, 56.2572, 63.0605, 69.8093, 76.5666, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R3_F, 0.0000, 0.1764, 0.1817, 0.1839, 0.1854, 0.1858, 0.1863, 0.1861, 0.1865, 0.1863, 0.1864, 0.1864, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R4_T, 0.4743, 7.3529, 14.1714, 20.9428, 28.0814, 35.0525, 41.7975, 48.4872, 55.1713, 61.8622, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R4_F, 0.0000, 0.1758, 0.1832, 0.1848, 0.1856, 0.1861, 0.1865, 0.1864, 0.1866, 0.1864, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R5_T, 0.4508, 7.2647, 14.1811, 21.0851, 28.0116, 35.1292, 42.3570, 49.0662, 55.8682, 62.6173, 69.5730, 76.3081, 83.0204, 89.7727, 96.8293, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R5_F, 0.0000, 0.1757, 0.1823, 0.1839, 0.1847, 0.1854, 0.1858, 0.1863, 0.1865, 0.1866, 0.1866, 0.1868, 0.1868, 0.1867, 0.1868, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R6_T, 0.4394, 7.0971, 13.9570, 20.6999, 27.6516, 34.7721, 41.5398, 48.2913, 55.1954, 62.2265, 69.0246, 75.8023, 82.6079, 89.4046, 96.1873, 102.9909, 109.7574, 116.4592, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
M1_R6_F, 0.0000, 0.1759, 0.1814, 0.1832, 0.1843, 0.1850, 0.1858, 0.1860, 0.1862, 0.1865, 0.1863, 0.1865, 0.1867, 0.1871, 0.1873, 0.1870, 0.1873, 0.1869, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
